"cityName","hasmunicipality"
"LOEGUMKLOSTER",550
"RANDBOEL",630
"ROEDBY",360
"KORSOER",330
"JERSLEV SJAELLAND",326
"EGAE",751
"KRAGELUND",813
"AELBORG SOE",851
"BAELUM",840
"GRAESTEN",540
"ROEDDING",575
"STENLOESE",240
"TAPPERNOEJE",370
"SOENDER OMME",530
"STORE MERLOESE",316
"SKAERUP FYN",479
"NYKOEBING F",376
"HOERSHOLM",230
"OERBAEK",450
"KOEBENHAVN K",101
"TOENDER",550
"ALLEROED",201
"AELESTRUP",791
"FAERUP",730
"OESTERVRAE",813
"NORDHAVN",NA
"NYKOEBING SJ",306
"RODSKOV",706
"RINGK¿BING",760
"OLSKER",400
"GOERDING",561
"RINGKOEBING",760
"HARBOOER",665
"RYOMGAERD",706
"VEDBAEK",230
"KOEGE",336
"MOERKOEV",316
"SJOELUND",621
"LOEGSTRUP",791
"HOUE",665
"SOROE",340
"AERS",820
"ØRUM",810
"L¿GUMKLOSTER",550
"TøYSTRUP",430
"MOI, LUND",NA
"GERSTETTEN",NA
"NINGBO,ZHEJIANG PR",NA
"VIENTIACE",NA
"LöVESTAD",NA
"VµGGERLøSE",376
"VIBY SJµLLAND",265
"GRµSTED",270
"LES ARCS SUR ARGENS  FRANCE",NA
"0",657
"GALMSBüLL",NA
"GODTHåB",NA
"STEINSEL",NA
"LANGELUND",630
